generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
206,2024-06-29 22:46:41,2024-06-29 22:48:41,120,0.17685142518923078,128,26368
207,2024-06-29 22:48:41,2024-06-29 22:50:38,117,0.17716807716744412,128,26496
208,2024-06-29 22:50:38,2024-06-29 22:52:35,117,0.17718728956553353,128,26624
209,2024-06-29 22:52:35,2024-06-29 22:54:31,116,0.1771932718508685,128,26752
210,2024-06-29 22:54:31,2024-06-29 22:56:28,117,0.1771529607411663,128,26880
211,2024-06-29 22:56:28,2024-06-29 22:58:25,117,0.17710506212322577,128,27008
212,2024-06-29 22:58:25,2024-06-29 23:00:23,118,0.17711960279411915,128,27136
213,2024-06-29 23:00:23,2024-06-29 23:02:24,121,0.17714161594940447,128,27264
214,2024-06-29 23:02:24,2024-06-29 23:04:21,117,0.1772062645339951,128,27392
215,2024-06-29 23:04:21,2024-06-29 23:06:18,117,0.17717183707558307,128,27520
216,2024-06-29 23:06:18,2024-06-29 23:08:15,117,0.177226912751737,128,27648
217,2024-06-29 23:08:15,2024-06-29 23:10:12,117,0.17720005541516126,128,27776
218,2024-06-29 23:10:12,2024-06-29 23:12:11,119,0.17721539505615383,128,27904
219,2024-06-29 23:12:11,2024-06-29 23:14:08,117,0.17717712130945412,128,28032
220,2024-06-29 23:14:08,2024-06-29 23:16:05,117,0.1772899854512407,128,28160
221,2024-06-29 23:16:05,2024-06-29 23:18:02,117,0.17718770475955337,128,28288
222,2024-06-29 23:18:02,2024-06-29 23:19:59,117,0.1771864985671464,128,28416
223,2024-06-29 23:19:59,2024-06-29 23:21:56,117,0.17718005086312658,128,28544
224,2024-06-29 23:21:56,2024-06-29 23:23:53,117,0.17718740507583128,128,28672
225,2024-06-29 23:23:53,2024-06-29 23:25:50,117,0.1771902706086849,128,28800
226,2024-06-29 23:25:50,2024-06-29 23:27:48,118,0.17718033214635232,128,28928
227,2024-06-29 23:27:48,2024-06-29 23:29:47,119,0.17722378499796526,128,29056
228,2024-06-29 23:29:47,2024-06-29 23:31:44,117,0.1771895121955087,128,29184
229,2024-06-29 23:31:44,2024-06-29 23:33:45,121,0.1771643733644665,128,29312
230,2024-06-29 23:33:45,2024-06-29 23:35:43,118,0.17717060938220847,128,29440
231,2024-06-29 23:35:43,2024-06-29 23:37:39,116,0.17722306288950374,128,29568
232,2024-06-29 23:37:39,2024-06-29 23:39:36,117,0.17715729213280393,128,29696
233,2024-06-29 23:39:36,2024-06-29 23:41:33,117,0.17715442243456572,128,29824
234,2024-06-29 23:41:33,2024-06-29 23:43:33,120,0.17714416192104218,128,29952
235,2024-06-29 23:43:33,2024-06-29 23:45:30,117,0.17728053367183624,128,30080
236,2024-06-29 23:45:30,2024-06-29 23:47:30,120,0.1773411908323077,128,30208
237,2024-06-29 23:47:30,2024-06-29 23:49:27,117,0.1772341103499752,128,30336
238,2024-06-29 23:49:27,2024-06-29 23:51:23,116,0.17725745459399508,128,30464
239,2024-06-29 23:51:23,2024-06-29 23:53:20,117,0.1772690256526303,128,30592
240,2024-06-29 23:53:20,2024-06-29 23:55:20,120,0.17727517250707192,128,30720
241,2024-06-29 23:55:20,2024-06-29 23:57:23,123,0.17725184349692305,128,30848
242,2024-06-29 23:57:23,2024-06-29 23:59:21,118,0.17828605896401983,128,30976
243,2024-06-29 23:59:21,2024-06-30 00:01:18,117,0.17839561495392064,128,31104
244,2024-06-30 00:01:18,2024-06-30 00:03:16,118,0.17828698893066997,128,31232
245,2024-06-30 00:03:16,2024-06-30 00:05:13,117,0.17829427847789084,128,31360
246,2024-06-30 00:05:13,2024-06-30 00:07:13,120,0.17824544652630273,128,31488
247,2024-06-30 00:07:13,2024-06-30 00:09:10,117,0.17826240536987598,128,31616
248,2024-06-30 00:09:10,2024-06-30 00:11:07,117,0.1783036866491563,128,31744
249,2024-06-30 00:11:07,2024-06-30 00:13:05,118,0.1783511157746402,128,31872
250,2024-06-30 00:13:05,2024-06-30 00:15:01,116,0.17829228553362284,128,32000
251,2024-06-30 00:15:01,2024-06-30 00:16:58,117,0.17831647859352362,128,32128
252,2024-06-30 00:16:58,2024-06-30 00:18:56,118,0.17834212462285362,128,32256
253,2024-06-30 00:18:56,2024-06-30 00:20:53,117,0.1783377645530521,128,32384
254,2024-06-30 00:20:53,2024-06-30 00:22:50,117,0.17832429077002482,128,32512
255,2024-06-30 00:22:50,2024-06-30 00:24:47,117,0.17826700451019847,128,32640
256,2024-06-30 00:24:47,2024-06-30 00:26:46,119,0.17811016239464023,128,32768
257,2024-06-30 00:26:46,2024-06-30 00:28:46,120,0.17812165259091808,128,32896
258,2024-06-30 00:28:46,2024-06-30 00:30:43,117,0.17813899016625315,128,33024
259,2024-06-30 00:30:43,2024-06-30 00:32:44,121,0.1781566189481638,128,33152
260,2024-06-30 00:32:44,2024-06-30 00:34:42,118,0.17814069900846152,128,33280
261,2024-06-30 00:34:42,2024-06-30 00:36:39,117,0.1781865275221836,128,33408
262,2024-06-30 00:36:39,2024-06-30 00:38:40,121,0.17814316078923073,128,33536
263,2024-06-30 00:38:40,2024-06-30 00:40:37,117,0.1781616711202978,128,33664
264,2024-06-30 00:40:37,2024-06-30 00:42:37,120,0.17816768252203483,128,33792
265,2024-06-30 00:42:37,2024-06-30 00:44:34,117,0.17813470815727053,128,33920
266,2024-06-30 00:44:34,2024-06-30 00:46:31,117,0.1781360560582134,128,34048
