Date,Canals to Kuraz Sugar Plantations
2032-01-17,68.4
2032-01-18,68.4
2032-01-19,68.4
2032-01-20,68.4
2032-01-21,68.4
2032-01-22,68.4
2032-01-23,68.4
2032-01-24,68.4
2032-01-25,68.4
2032-01-26,68.4
2032-01-27,68.4
2032-01-28,68.4
2032-01-29,68.4
2032-01-30,68.4
2032-01-31,68.4
2032-02-01,72.57
2032-02-02,72.57
2032-02-03,72.57
2032-02-04,72.57
2032-02-05,72.58
2032-02-06,72.58
2032-02-07,72.58
2032-02-08,72.57499999999999
2032-02-09,72.57
2032-02-10,72.57
2032-02-11,72.57
2032-02-12,72.57
2032-02-13,72.57
2032-02-14,72.57
2032-02-15,72.57
2032-02-16,72.57
2032-02-17,72.57
2032-02-18,72.57
2032-02-19,72.57
2032-02-20,72.565
2032-02-21,72.57
2032-02-22,72.57
2032-02-23,72.565
2032-02-24,72.56
2032-02-25,72.56
2032-02-26,72.56
2032-02-27,72.56
2032-02-28,72.56
2032-02-29,72.56
2032-03-01,77.045
2032-03-02,77.04
2032-03-03,77.04
2032-03-04,77.04
2032-03-05,77.04
2032-03-06,77.04
2032-03-07,77.04
2032-03-08,77.04
2032-03-09,77.03
2032-03-10,77.03
2032-03-11,77.03
2032-03-12,77.03
2032-03-13,77.03
2032-03-14,77.02
2032-03-15,77.02
2032-03-16,77.02
2032-03-17,77.02
2032-03-18,77.02
2032-03-19,77.02
2032-03-20,77.02
2032-03-21,77.02
2032-03-22,77.02
2032-03-23,77.02
2032-03-24,77.02
2032-03-25,77.00999999999999
2032-03-26,77.0
2032-03-27,77.0
2032-03-28,77.0
2032-03-29,77.0
2032-03-30,77.0
2032-03-31,77.0
2032-04-01,81.61
2032-04-02,81.61
2032-04-03,81.61
2032-04-04,81.61
2032-04-05,81.61
2032-04-06,81.6
2032-04-07,81.59
2032-04-08,81.59
2032-04-09,81.59
2032-04-10,81.59
2032-04-11,81.59
2032-04-12,81.58500000000001
2032-04-13,81.58
2032-04-14,81.58
2032-04-15,81.57
2032-04-16,81.57
2032-04-17,81.56
2032-04-18,81.56
2032-04-19,81.56
2032-04-20,81.56
